shapeName,imds,rank_imds,COORD_X,COORD_Y,sdg2_2_cmc,sdg2_2_oww,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr
Desaguadero,57.0,58,-68.979109,-16.614504,14.0,22.799999,0,0,0,13,0,60
Jesús de Machaka,52.5,128,-68.739571,-16.761218,23.1,21.700001,0,0,0,19,0,32
Puerto Mayor de Guaqui,53.400002,106,-68.821187,-16.606463,14.0,22.799999,0,0,0,68,0,31
Tito Yupanqui,45.400002,281,-68.960423,-16.179695,23.1,21.700001,0,0,0,0,0,16
Pucarani,50.5,172,-68.416365,-16.360823,23.1,21.700001,0,0,0,17,0,54
Combaya,49.400002,194,-68.753611,-15.816798,23.1,21.700001,0,0,0,25,0,28
Coroico,58.799999,36,-67.772683,-16.162724,14.0,22.799999,0,0,0,137,12,50
Coripata,59.200001,33,-67.56647,-16.208129,14.0,22.799999,0,0,0,114,13,55
Quiabaya,50.099998,183,-68.714799,-15.601605,23.1,21.700001,0,0,0,186,0,67
Aucapata,43.400002,300,-68.699085,-15.438554,23.1,21.700001,0,0,0,87,0,92
Ayo Ayo,50.099998,181,-68.019484,-17.076525,23.1,21.700001,0,0,0,12,0,49
Azurduy,37.900002,333,-64.432695,-20.181806,40.599998,16.9,0,0,1,9,205,99
Tipuani,52.099998,138,-68.055884,-15.584172,14.0,22.799999,0,1,0,358,0,78
Nuestra Señora de La Paz,80.199997,1,-67.97181,-16.166874,14.0,22.799999,0,0,0,53,445,31
Sorata,49.299999,197,-68.493931,-15.719428,23.1,21.700001,0,0,0,63,0,82
La Asunta,47.400002,243,-67.156495,-16.108103,38.5,13.6,0,0,0,111,29,88
Chuma,47.0,255,-68.865486,-15.593042,23.1,21.700001,0,0,0,52,0,44
Guanay,47.0,256,-68.042084,-15.735879,23.1,21.700001,0,9,0,127,0,105
Teoponte,48.700001,209,-67.686904,-15.40807,38.5,13.6,0,1,0,141,0,104
Mapiri,51.799999,144,-68.25804,-15.379346,14.0,22.799999,0,4,0,157,0,112
Charazani,49.299999,196,-68.773584,-15.096923,38.5,13.6,0,0,0,22,56,63
"Caiza ""D""",51.5,151,-65.653561,-20.011159,29.5,18.0,0,0,0,58,0,48
Copacabana,54.299999,93,-69.060523,-16.138482,14.0,22.799999,0,0,0,6,32,37
Tarvita,40.0,327,-64.561679,-19.772343,40.599998,16.9,0,0,0,27,102,84
Chaquí,48.0,226,-65.545882,-19.62478,29.5,18.0,0,0,0,39,0,48
Puna,50.099998,180,-65.400832,-19.8773,29.5,18.0,1,0,0,23,11,60
Ckochas,38.200001,332,-65.022763,-19.74195,49.200001,11.3,1,0,0,25,0,76
El Villar,47.700001,232,-64.274842,-19.690736,40.599998,16.9,1,0,0,21,0,46
Huacaya,49.099998,204,-63.595749,-20.717796,40.599998,16.9,8,0,0,0,94,94
Tacacoma,50.200001,179,-68.52452,-15.392857,23.1,21.700001,1,0,0,138,0,79
Huacareta,47.599998,234,-64.010136,-20.594854,40.599998,16.9,2,0,0,23,0,134
Monteagudo,57.5,54,-64.075241,-20.015288,24.299999,27.1,2,0,0,46,19,73
Potosí,66.199997,11,-65.721306,-19.536496,18.0,18.9,0,0,0,64,164,56
San Pedro de Tiquina,51.200001,158,-68.871843,-16.226387,23.1,21.700001,0,0,0,16,0,42
Lagunillas,52.099998,137,-63.644951,-19.771139,12.5,31.200001,0,0,0,17,0,108
Alcalá,48.099998,218,-64.374234,-19.43205,24.299999,27.1,0,0,0,0,97,53
Sopachui,44.900002,287,-64.534024,-19.464143,40.599998,16.9,0,0,0,0,686,75
Villa Ricardo Mugia - Icla,45.099998,284,-64.745493,-19.46529,40.599998,16.9,4,0,0,25,63,67
Yotala,55.5,75,-65.26573,-19.225121,14.8,28.5,1,0,0,70,25,65
Yamparáez,47.0,254,-65.071129,-19.24281,40.599998,16.9,5,0,0,18,23,51
Tomina,47.400002,245,-64.494591,-19.161214,40.599998,16.9,3,0,0,11,514,102
Ocurí,38.5,330,-65.768549,-18.889184,49.200001,11.3,0,0,0,6,0,69
Tarabuco,43.299999,301,-64.909415,-19.122939,40.599998,16.9,5,0,0,70,174,78
Zudañez,47.5,235,-64.687807,-19.128319,40.599998,16.9,0,0,0,41,416,65
Curva,46.200001,270,-68.966329,-14.985938,38.5,13.6,0,0,0,0,0,94
Pelechuco,47.400002,244,-69.090797,-14.80018,38.5,13.6,0,0,0,42,0,98
Palos Blancos,50.900002,166,-67.231286,-15.417809,23.1,21.700001,0,3,0,197,28,77
Apolo,51.599998,149,-68.232274,-14.658933,23.1,21.700001,0,0,0,0,0,74
Puerto Menor de Rurrenabaque,55.099998,82,-67.305482,-14.688873,15.1,32.099998,0,4,0,61,23,85
San Buenaventura,52.200001,135,-67.745609,-14.258516,23.1,21.700001,0,1,0,75,109,92
Santa Ana,52.700001,124,-65.996796,-14.350355,15.1,32.099998,0,1,0,16,134,108
San Borja,47.099998,250,-66.808303,-15.003657,25.200001,20.1,0,0,0,75,17,110
Reyes,51.400002,153,-67.058307,-13.404164,15.1,32.099998,0,0,3,14,0,91
Puerto Gonzalo Moreno,47.400002,242,-66.326023,-11.168032,25.700001,17.200001,0,0,11,11,0,121
